Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,RPi_Hat_Mounting_Hole,103.69,-69.88,0,top
,,RPi_Hat_Mounting_Hole,161.69,-69.88,0,top
,,RPi_Hat_Mounting_Hole,103.69,-118.88,0,top
,,RPi_Hat_Mounting_Hole,161.69,-118.88,0,top
C1,100n,C_0201_0603Metric,159.71,-104.71,0,top
C2,~,C_0603_1608Metric,144.83,-100.37,90,top
C3,100n,C_0201_0603Metric,123.54,-110.1,-90,top
C23,10u,C_0603_1608Metric,152.575,-111.28,180,top
C24,100n,C_0201_0603Metric,154.89,-111.55,0,top
C25,10u,C_0603_1608Metric,149.915,-103.94,180,top
C26,10u,C_0603_1608Metric,149.915,-105.41,180,top
C27,100n,C_0201_0603Metric,149.375,-102.86,180,top
C33,22u,C_0805_2012Metric,148.73,-98.54,180,top
C34,22u,C_0805_2012Metric,148.73,-96.58,180,top
C201,22u,C_0805_2012Metric,119.8,-105.51,0,top
C202,22u,C_0805_2012Metric,116.38,-105.51,180,top
C203,22u,C_0805_2012Metric,124.87,-105.48,0,top
C204,470n,C_0402_1005Metric,161.48,-82.09,0,top
C205,100n,C_0201_0603Metric,132.46,-92.26,180,top
C206,100n,C_0201_0603Metric,132.46,-91.16,180,top
C207,100n,C_0201_0603Metric,132.43,-90.06,180,top
C208,2.2u,C_0402_1005Metric,132.22,-89.21,180,top
C209,47p,C_0402_1005Metric,146.6,-92.26,0,top
C210,100n,C_0201_0603Metric,161.23,-79.76,-90,top
C211,1u,C_0402_1005Metric,162.04,-79.97,-90,top
C212,16p,C_0201_0603Metric,160.473088,-84.966793,-45,top
C213,47n,C_0402_1005Metric,153.995,-83.79,180,top
C214,16p,C_0201_0603Metric,156.209234,-84.464747,-135,top
C215,47p,C_0402_1005Metric,153.995,-82.87,180,top
C216,1.8p,C_0402_1005Metric,153.09,-79.13,180,top
C217,2.4p,C_0402_1005Metric,153.09,-80.07,0,top
C218,1n,C_0402_1005Metric,151.72,-79.62,-90,top
C219,5.6p,C_0402_1005Metric,152.17,-82.86,180,top
C220,3p,C_0402_1005Metric,152.17,-81.93,180,top
C221,5.6p,C_0402_1005Metric,150.76,-81.48,90,top
C222,39p,C_0402_1005Metric,149.39,-80.99,0,top
C223,1.8p,C_0402_1005Metric,147.55,-81.92,180,top
C224,1n,C_0402_1005Metric,145.71,-80.98,0,top
C225,1n,C_0402_1005Metric,145.74,-79.53,0,top
C226,100p,C_0201_0603Metric,144.1,-78.97,180,top
C227,10n,C_0201_0603Metric,143.28,-81.5,180,top
C228,39p,C_0402_1005Metric,142,-80.22,0,top
C229,3.3p,C_0402_1005Metric,140.17,-79.29,0,top
C230,3.3p,C_0402_1005Metric,140.15,-81.16,180,top
C231,100n,C_0201_0603Metric,155.885,-82.7,180,top
C602,22p,C_0201_0603Metric,127.82,-111.45,-90,top
C603,22p,C_0201_0603Metric,127.82,-112.85,90,top
C604,100n,C_0201_0603Metric,122.17,-110.45,180,top
C605,1u,C_0402_1005Metric,132.29,-107.67,-90,top
C606,1u,C_0402_1005Metric,112.83,-119.97,-90,top
C607,1u,C_0402_1005Metric,126.62,-108.28,90,top
C608,1u,C_0402_1005Metric,117.8625,-119.8,-90,top
C610,680n,C_0402_1005Metric,132.2825,-105.85,-90,top
C611,100n,C_0201_0603Metric,119.83,-118.05,180,top
C612,10n,C_0201_0603Metric,119.83,-117.35,180,top
C613,10n,C_0201_0603Metric,121.23,-117.35,0,top
C614,100n,C_0201_0603Metric,121.23,-118.05,0,top
C615,100n,C_0201_0603Metric,128.99,-116,0,top
C616,10n,C_0201_0603Metric,127.73,-114.49,90,top
C617,10n,C_0201_0603Metric,124.24,-110.1,90,top
C618,100n,C_0201_0603Metric,124.94,-110.1,90,top
C619,10n,C_0201_0603Metric,121.47,-109.75,0,top
C620,100n,C_0201_0603Metric,121.47,-109.05,0,top
D401,SMAJ5.0A,D_SMA,159.75,-111.91,90,top
J1,USB_A,USB_A_Molex_67643_Horizontal,159.94,-100.81,90,top
J2,Barrel_Jack,PJ-037A,153.35,-119.5,90,top
J3,Conn_Coaxial,RCJ-054,106.66,-110.04,90,top
J101,Raspberry_Pi_2_3,PinHeader_2x20_P2.54mm_Vertical,108.56,-71.15,90,top
J102,Conn_01x15,FFC3A20-15-G,138.26,-110.94,180,top
J201,U.FL,U.FL-R-SMT-1(60),102.875,-77.67,90,top
J202,U.FL,U.FL-R-SMT-1(60),149.625,-92.26,-90,top
J203,U.FL,U.FL-R-SMT-1(60),137.13,-80.23,90,top
L4,1.5u,FNR6028S1R5MT,153.68,-99.25,90,top
L201,0R,L_0402_1005Metric,154.015,-81,0,top
L202,47n,L_0402_1005Metric,154.015,-81.94,0,top
L203,15n,L_0402_1005Metric,154.475,-79.6,90,top
L204,2.5n,L_0402_1005Metric,152.15,-81,180,top
L205,4.7n,L_0402_1005Metric,147.55,-80.99,180,top
L206,9.1n,L_0402_1005Metric,140.16,-80.22,180,top
R1,0,R_0402_1005Metric,162.65,-87.61,90,top
R2,0,R_0402_1005Metric,150.46,-106.62,180,top
R3,0,R_1206_3216Metric,163.62,-109.44,90,top
R4,24R,R_0603_1608Metric,124.67,-107.21,180,top
R5,51R,R_0603_1608Metric,124.67,-108.67,0,top
R6,0,R_0402_1005Metric,119.83,-110.33,0,top
R7,100k,R_0402_1005Metric,148.6,-106.62,180,top
R8,135k,R_0603_1608Metric,146.29,-100.37,-90,top
R9,30k,R_0201_0603Metric,147.35,-102.56,-90,top
R22,0,R_0402_1005Metric,118.07,-111.73,-90,top
R23,0,R_0402_1005Metric,141.58,-120.22,180,top
R24,0,R_0402_1005Metric,143.81,-120.22,0,top
R25,0,R_0402_1005Metric,142.09,-118.76,90,top
R26,0,R_0402_1005Metric,143.31,-118.76,90,top
R27,0,R_0402_1005Metric,115.98,-114.97,0,top
R28,0,R_0402_1005Metric,115.98,-114.03,0,top
R201,100k,R_0201_0603Metric,158.51,-76.23,90,top
R202,10k,R_0201_0603Metric,132.89,-73.4,0,top
R203,10k,R_0201_0603Metric,154.59,-73.44,0,top
