Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C207,0.1uF,C_0402_1005Metric,42.12,-142.4,180,bottom
C413,1uF,C_0402_1005Metric,64.135,-145.1,-90,bottom
C418,10uF,C_0805_2012Metric,53.78,-135.39,180,bottom
C420,10uF,C_0805_2012Metric,59.16,-134.1,0,bottom
C421,10uF,C_0805_2012Metric,59.17,-136.06,0,bottom
C423,10uF,C_0805_2012Metric,53.78,-133.41,180,bottom
C424,10uF,C_0805_2012Metric,56.47,-132.36,90,bottom
C501,0.1u,C_0201_0603Metric,41.99,-121.905,90,bottom
C502,0.1u,C_0201_0603Metric,42.731,-127.11,90,bottom
C503,6.2n,C_0402_1005Metric,48.85,-125.06,90,bottom
C504,10n,C_0201_0603Metric,55.53,-127.83,-90,bottom
C505,10u,C_0805_2012Metric,60.82,-34.75,180,bottom
C506,10u,C_0805_2012Metric,71.03,-125.31,-90,bottom
C507,220u,CP_Radial_D8.0mm_P3.50mm,27.77,-77.197349,-90,bottom
C508,10u,C_0805_2012Metric,37.69,-24.48,90,bottom
C509,10u,C_0805_2012Metric,25.43,-111.87,90,bottom
C510,220u,CP_Radial_D8.0mm_P3.50mm,69.21,-76.967349,-90,bottom
C511,10u,C_0805_2012Metric,35.34,-62.05,90,bottom
C512,10u,C_0805_2012Metric,71.25,-110.85,-90,bottom
C513,10u,C_0805_2012Metric,33.53,-49.276,180,bottom
C514,10u,C_0805_2012Metric,25.35,-96.46,90,bottom
C515,10u,C_0805_2012Metric,64.84,-54.34,-90,bottom
C516,10u,C_0805_2012Metric,68.04,-93.6,180,bottom
C601,100n,C_0201_0603Metric,51.015,-78.8,180,bottom
C701,1u,C_0201_0603Metric,37.585,-43.73,180,bottom
C702,1u,C_0201_0603Metric,36.3,-37.82,180,bottom
C703,1u,C_0201_0603Metric,35.18,-38.54,-90,bottom
C704,10u,C_0805_2012Metric,36.74,-36.08,0,bottom
C705,10u,C_0805_2012Metric,41.53,-36.01,180,bottom
C706,0.1u,C_0201_0603Metric,37.77,-37.52,0,bottom
C707,470n,C_0402_1005Metric,39.315,-36.88,90,bottom
C708,1u,C_0402_1005Metric,42.13,-38.01,-90,bottom
C709,1u,C_0402_1005Metric,46.05,-39.96,-90,bottom
C710,1u,C_0402_1005Metric,41.87,-44.34,180,bottom
C801,1u,C_0201_0603Metric,60.52,-55.13,0,bottom
C802,1u,C_0201_0603Metric,61.3675,-61.6325,0,bottom
C803,1u,C_0201_0603Metric,62.37,-60.48,90,bottom
C804,10u,C_0805_2012Metric,60.9325,-63.0825,180,bottom
C805,10u,C_0805_2012Metric,56.1375,-63.2125,0,bottom
C806,0.1u,C_0201_0603Metric,59.9175,-61.6325,180,bottom
C807,470n,C_0402_1005Metric,58.37,-62.24,-90,bottom
C808,1u,C_0402_1005Metric,55.5075,-61.2225,90,bottom
C809,1u,C_0402_1005Metric,53.2,-58.53,90,bottom
C810,1u,C_0402_1005Metric,52.26,-55.45,90,bottom
C901,1u,C_0201_0603Metric,40.35,-105.2,180,bottom
C902,1u,C_0201_0603Metric,38.165,-98.63,180,bottom
C903,1u,C_0201_0603Metric,37.5025,-99.9675,0,bottom
C904,10u,C_0805_2012Metric,39.6025,-97.15,0,bottom
C905,10u,C_0805_2012Metric,43.6475,-97.1775,-90,bottom
C906,0.1u,C_0201_0603Metric,40.5925,-98.6,0,bottom
C907,470n,C_0402_1005Metric,42.125,-98.07,90,bottom
C908,1u,C_0402_1005Metric,45.16,-99.03,-90,bottom
C909,1u,C_0402_1005Metric,46.16,-101.6,-90,bottom
C910,1u,C_0402_1005Metric,45.04,-104.76,180,bottom
C1001,1u,C_0201_0603Metric,56.71,-103.02,0,bottom
C1002,1u,C_0201_0603Metric,57.985,-109.01,0,bottom
