Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,0.47uF,C_0201_0603Metric,34.77,-167.06,90,top
C202,0.1uF,C_0201_0603Metric,34.06,-167.05,-90,top
C203,0.01uF,C_0201_0603Metric,35.805,-164.22,0,top
C204,0.01uF,C_0201_0603Metric,37.205,-164.22,0,top
C205,0.01uF,C_0201_0603Metric,38.61,-164.22,0,top
C206,0.01uF,C_0201_0603Metric,40.01,-164.22,0,top
C208,0.47uF,C_0201_0603Metric,41.02,-167.25,90,top
C209,0.47uF,C_0201_0603Metric,41.44,-169.71,0,top
C210,0.01uF,C_0201_0603Metric,34.42,-170.02,180,top
C401,1uF,C_0402_1005Metric,49.68,-151.52,90,top
C402,10uF,C_0805_2012Metric,54.6,-150.32,0,top
C403,33pF,C_0201_0603Metric,64.52,-135.67,90,top
C404,10uF,C_0805_2012Metric,50.92,-145.7,180,top
C405,1800pF,C_0201_0603Metric,64.87,-134.62,180,top
C406,10uF,C_0805_2012Metric,50.92,-147.67,180,top
C407,680pF,C_0201_0603Metric,63.82,-134.26,90,top
C408,10uF,C_0805_2012Metric,50.92,-149.63,180,top
C409,33nF,C_0201_0603Metric,63.37,-144.495,-90,top
C410,15pF,C_0201_0603Metric,63.11,-135.67,90,top
C411,1nF,C_0201_0603Metric,55.78,-143.61,0,top
C412,33nF,C_0201_0603Metric,61.26,-144.495,-90,top
C414,10nF,C_0201_0603Metric,55.77,-144.36,0,top
C415,470nF,C_0201_0603Metric,58.4,-143.38,180,top
C416,47nF,C_0402_1005Metric,56.28,-141.22,45,top
C417,47nF,C_0402_1005Metric,56.92,-136.04,0,top
C419,3.3uF,C_0603_1608Metric,56.27,-138.06,90,top
C422,100pF,C_0201_0603Metric,64.04,-141.48,0,top
C425,0.1uF,C_0201_0603Metric,59.26,-134.11,0,top
C426,100pF,C_0201_0603Metric,64.045,-142.88,0,top
C427,0.1uF,C_0201_0603Metric,60.66,-134.115,0,top
C428,0.1uF,C_0201_0603Metric,62.06,-134.11,180,top
C429,10uF,C_0603_1608Metric,48.09,-129.24,90,top
C602,100n,C_0201_0603Metric,55.33,-125.06,0,top
C711,3900p,C_0402_1005Metric,35.96,-68.32,0,top
C712,3900p,C_0402_1005Metric,43.33,-74.39,0,top
C713,0.01u,C_0201_0603Metric,40.38,-61.46,180,top
C714,4.7u,C_0805_2012Metric,34.01,-61.76,-90,top
C715,3900p,C_0402_1005Metric,36.772,-49.465,0,top
C716,3900p,C_0402_1005Metric,44.142,-55.535,0,top
C717,0.01u,C_0201_0603Metric,40.23,-42.54,180,top
C718,4.7u,C_0805_2012Metric,33.12,-42.53,-90,top
C719,3900p,C_0402_1005Metric,37.388,-31.075,0,top
C720,3900p,C_0402_1005Metric,44.74,-37.27,0,top
C721,0.01u,C_0201_0603Metric,40.698,-23.915,180,top
C722,4.7u,C_0805_2012Metric,35.6,-24.1,-90,top
C811,3900p,C_0402_1005Metric,59.358,-29.055,180,top
C812,3900p,C_0402_1005Metric,51.998,-22.935,180,top
C813,0.01u,C_0201_0603Metric,55.64,-36.05,0,top
C814,4.7u,C_0805_2012Metric,62.58,-34.77,180,top
C815,3900p,C_0402_1005Metric,60.84,-47.85,180,top
C816,3900p,C_0402_1005Metric,53.48,-41.73,180,top
C817,0.01u,C_0201_0603Metric,57.53,-55.01,0,top
C818,4.7u,C_0805_2012Metric,62.79,-54.41,90,top
C819,3900p,C_0402_1005Metric,60.848,-66.595,180,top
C820,3900p,C_0402_1005Metric,53.488,-60.475,180,top
C821,0.01u,C_0201_0603Metric,57.51,-73.59,0,top
C822,4.7u,C_0805_2012Metric,64.74,-73.52,90,top
C911,3900p,C_0402_1005Metric,27.5,-118.6,0,top
C912,3900p,C_0402_1005Metric,34.625,-124.91,0,top
C913,0.01u,C_0201_0603Metric,31.05,-111.68,180,top
C914,4.7u,C_0805_2012Metric,25.43,-111.87,-90,top
C915,3900p,C_0402_1005Metric,27.36,-103.135,0,top
C916,3900p,C_0402_1005Metric,33.255,-109.165,0,top
C917,0.01u,C_0201_0603Metric,30.29,-96.05,180,top
C918,4.7u,C_0805_2012Metric,25.35,-96.46,-90,top
C919,3900p,C_0402_1005Metric,27.638,-88.63,0,top
C920,3900p,C_0402_1005Metric,33.888,-94.555,0,top
C921,0.01u,C_0201_0603Metric,29.848,-81.395,180,top
C922,4.7u,C_0805_2012Metric,25.568,-82.125,-90,top
C1011,3900p,C_0402_1005Metric,69.202,-87.9,180,top
C1012,3900p,C_0402_1005Metric,64.54,-81.94,180,top
C1013,0.01u,C_0201_0603Metric,63.9345,-95.035,0,top
C1014,4.7u,C_0805_2012Metric,71.3,-94.65,90,top
C1015,3900p,C_0402_1005Metric,69.252,-104.2,180,top
C1016,3900p,C_0402_1005Metric,62.772,-98.375,180,top
C1017,0.01u,C_0201_0603Metric,64.0245,-111.245,0,top
C1018,4.7u,C_0805_2012Metric,71.27,-110.83,90,top
C1019,3900p,C_0402_1005Metric,69.082,-118.68,180,top
C1020,3900p,C_0402_1005Metric,62.4745,-112.745,180,top
C1021,0.01u,C_0201_0603Metric,65.43,-125.72,0,top
C1022,4.7u,C_0805_2012Metric,71.03,-125.31,90,top
D701,"PMEG4030ER,115",SOD123W,44.5875,-66.22,180,top
D702,"PMEG4030ER,115",SOD123W,43.32,-60.74,180,top
D703,"PMEG4030ER,115",SOD123W,45.49,-47.34,180,top
D704,"PMEG4030ER,115",SOD123W,43.5595,-41.785,180,top
D705,"PMEG4030ER,115",SOD123W,46.0975,-28.94,180,top
D706,"PMEG4030ER,115",SOD123W,44.1755,-23.395,180,top
D801,"PMEG4030ER,115",SOD123W,50.27,-31.9,-90,top
D802,"PMEG4030ER,115",SOD123W,52.5705,-36.735,0,top
D803,"PMEG4030ER,115",SOD123W,51.75,-49.79,0,top
D804,"PMEG4030ER,115",SOD123W,54.05,-55.94,0,top
D805,"PMEG4030ER,115",SOD123W,52.178,-68.695,0,top
D806,"PMEG4030ER,115",SOD123W,54.0605,-74.275,0,top
D901,"PMEG4030ER,115",SOD123W,36.2475,-116.9,180,top
D902,"PMEG4030ER,115",SOD123W,36.24,-114.28,180,top
D903,"PMEG4030ER,115",SOD123W,35.75,-101.31,180,top
D904,"PMEG4030ER,115",SOD123W,36.1,-98.815,180,top
D905,"PMEG4030ER,115",SOD123W,36.438,-86.695,180,top
