Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ801,Murata PKLCS,Buzzer_Murata_PKLCS1212E,100.25,-101.085,90,top
C201,100n,C_0201_0603Metric,205.076027,-109.422173,0,top
C202,100n,C_0201_0603Metric,205.076027,-110.122173,0,top
C203,2.2u,C_0402_1005Metric,205.281027,-110.947173,0,top
C204,47p,C_0402_1005Metric,199.901027,-99.097173,180,top
C205,100n,C_0201_0603Metric,205.076027,-108.722173,0,top
C206,33nF,C_0402_1005Metric,136.735,-108.345,-90,top
C207,33nF,C_0402_1005Metric,135.805,-108.345,-90,top
C208,68nF,C_0402_1005Metric,137.655,-108.345,-90,top
C209,100n,C_0201_0603Metric,127.825,-108.44,0,top
C210,130p,C_0402_1005Metric,135.815,-110.175,90,top
C211,1uF,C_0402_1005Metric,127.625,-107.585,0,top
C212,1.8n,C_0402_1005Metric,136.745,-110.175,-90,top
C213,0.47uF,C_0603_1608Metric,133.075,-104.8,-90,top
C214,47nF,C_0603_1608Metric,131.6,-104.8,-90,top
C215,10nF,C_0402_1005Metric,136.26,-106.955,180,top
C216,10nF,C_0402_1005Metric,134.85,-114.035,90,top
C217,47nF,C_0603_1608Metric,132.15,-114.605,90,top
C218,0.47uF,C_0603_1608Metric,133.63,-114.605,90,top
C219,0.1uF,C_0201_0603Metric,136.035,-106.125,0,top
C220,0.1uF,C_0201_0603Metric,137.42,-114.595,0,top
C221,10uF,C_0603_1608Metric,136.81,-105.025,0,top
C222,10uF,C_0603_1608Metric,136.8,-111.995,0,top
C223,10uF,C_0603_1608Metric,136.795,-113.47,0,top
C301,22u,C_0603_1608Metric,158.175,-99.405,90,top
C302,22u,C_0805_2012Metric,157.225,-110.825,180,top
C401,470n,C_0402_1005Metric,179.796027,-90.842173,180,top
C402,100n,C_0201_0603Metric,184.426027,-89.497173,180,top
C403,1u,C_0402_1005Metric,180.271027,-92.217173,90,top
C404,16p,C_0201_0603Metric,179.996027,-89.997173,180,top
C405,47n,C_0402_1005Metric,188.801027,-89.172173,90,top
C406,16p,C_0201_0603Metric,183.601027,-87.297173,90,top
C407,47p,C_0402_1005Metric,187.876027,-89.172173,90,top
C408,1.8p,C_0402_1005Metric,189.276027,-93.442173,0,top
C409,2.4p,C_0402_1005Metric,189.276027,-92.492173,180,top
C410,1n,C_0402_1005Metric,190.676027,-92.942173,90,top
C411,5.6p,C_0402_1005Metric,190.226027,-89.672173,0,top
C412,3p,C_0402_1005Metric,190.226027,-90.597173,0,top
C413,5.6p,C_0402_1005Metric,192.076027,-90.597173,180,top
C414,39p,C_0402_1005Metric,192.076027,-91.547173,180,top
